Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,1.29842,1.29863,1.29745,1.29754,3984.26
02.01.2020 00:00:00.000,1.29754,1.30078,1.29684,1.29836,128121.9688
03.01.2020 00:00:00.000,1.29836,1.30072,1.29608,1.29972,104812.5625
04.01.2020 00:00:00.000,1.29972,1.29972,1.29972,1.29972,0
05.01.2020 00:00:00.000,1.29868,1.29896,1.29848,1.29891,3763.5801
06.01.2020 00:00:00.000,1.29887,1.29896,1.29599,1.29636,93743.5938
07.01.2020 00:00:00.000,1.29634,1.30293,1.29566,1.30007,95034.9219
08.01.2020 00:00:00.000,1.30004,1.30434,1.29760,1.30358,123561.2969
09.01.2020 00:00:00.000,1.30359,1.31046,1.30258,1.30628,104710.3516
10.01.2020 00:00:00.000,1.30624,1.30753,1.30285,1.30492,90130.8906
11.01.2020 00:00:00.000,1.30492,1.30492,1.30492,1.30492,0
12.01.2020 00:00:00.000,1.30516,1.30667,1.30505,1.30664,3067.8601
13.01.2020 00:00:00.000,1.30665,1.30672,1.30312,1.30562,88907.25
14.01.2020 00:00:00.000,1.30562,1.30792,1.30465,1.30673,82475.2891
15.01.2020 00:00:00.000,1.30670,1.30778,1.30346,1.30397,88237.2031
16.01.2020 00:00:00.000,1.30397,1.30560,1.30319,1.30410,85454.1406
17.01.2020 00:00:00.000,1.30408,1.30748,1.30338,1.30639,77085.5625
18.01.2020 00:00:00.000,1.30639,1.30639,1.30639,1.30639,0
19.01.2020 00:00:00.000,1.30586,1.30673,1.30586,1.30642,6583.7598
20.01.2020 00:00:00.000,1.30642,1.30720,1.30434,1.30451,56771.9805
21.01.2020 00:00:00.000,1.30451,1.30797,1.30441,1.30735,88189.6719
22.01.2020 00:00:00.000,1.30734,1.31523,1.30356,1.31418,98052.7266
23.01.2020 00:00:00.000,1.31418,1.31713,1.31236,1.31274,104949.4063
24.01.2020 00:00:00.000,1.31274,1.31525,1.31179,1.31428,84483.2422
25.01.2020 00:00:00.000,1.31428,1.31428,1.31428,1.31428,0
26.01.2020 00:00:00.000,1.31514,1.31620,1.31490,1.31611,6146.1099
27.01.2020 00:00:00.000,1.31610,1.31994,1.31473,1.31875,103881.3203
28.01.2020 00:00:00.000,1.31875,1.32054,1.31540,1.31636,83701.0781
29.01.2020 00:00:00.000,1.31636,1.32093,1.31582,1.31977,77262.7266
30.01.2020 00:00:00.000,1.31976,1.32263,1.31900,1.32119,95085.0703
31.01.2020 00:00:00.000,1.32119,1.32532,1.31950,1.32347,106768.2188
01.02.2020 00:00:00.000,1.32347,1.32347,1.32347,1.32347,0
02.02.2020 00:00:00.000,1.32374,1.32443,1.32353,1.32414,3902.3701
03.02.2020 00:00:00.000,1.32414,1.33034,1.32316,1.32952,104521.2578
04.02.2020 00:00:00.000,1.32951,1.33016,1.32633,1.32826,95166.4219
05.02.2020 00:00:00.000,1.32826,1.33024,1.32626,1.32859,91425.4219
06.02.2020 00:00:00.000,1.32857,1.33089,1.32700,1.32869,91908.9531
07.02.2020 00:00:00.000,1.32869,1.33208,1.32780,1.33042,122167.4375
08.02.2020 00:00:00.000,1.33042,1.33042,1.33042,1.33042,0
09.02.2020 00:00:00.000,1.32997,1.33114,1.32997,1.33114,4790.6001
10.02.2020 00:00:00.000,1.33113,1.33291,1.32880,1.33176,97014.5781
11.02.2020 00:00:00.000,1.33173,1.33197,1.32761,1.32897,71036.2734
12.02.2020 00:00:00.000,1.32900,1.32956,1.32356,1.32558,597577.1875
13.02.2020 00:00:00.000,1.32558,1.32709,1.32400,1.32658,866813.5625
14.02.2020 00:00:00.000,1.32658,1.32688,1.32355,1.32483,403246.5
15.02.2020 00:00:00.000,1.32483,1.32483,1.32483,1.32483,0
16.02.2020 00:00:00.000,1.32495,1.32514,1.32442,1.32447,2997.48
17.02.2020 00:00:00.000,1.32445,1.32499,1.32248,1.32371,47861.25
18.02.2020 00:00:00.000,1.32372,1.32782,1.32340,1.32539,76432.3516
19.02.2020 00:00:00.000,1.32540,1.32558,1.32149,1.32217,71955.9688
20.02.2020 00:00:00.000,1.32215,1.32686,1.32115,1.32610,71595.9297
21.02.2020 00:00:00.000,1.32610,1.32682,1.32018,1.32189,87914.9766
22.02.2020 00:00:00.000,1.32189,1.32189,1.32189,1.32189,0
23.02.2020 00:00:00.000,1.32504,1.32582,1.32430,1.32533,8813.3203
24.02.2020 00:00:00.000,1.32531,1.33073,1.32473,1.32870,110100.5469
25.02.2020 00:00:00.000,1.32869,1.33054,1.32670,1.32797,117744.1719
26.02.2020 00:00:00.000,1.32797,1.33469,1.32711,1.33435,131972.625
27.02.2020 00:00:00.000,1.33435,1.33937,1.33163,1.33877,140006.3281
28.02.2020 00:00:00.000,1.33876,1.34642,1.33854,1.33965,188666.9844
29.02.2020 00:00:00.000,1.33965,1.33965,1.33965,1.33965,0
