Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,1518.768,1521.068,1518.075,1518.285,0.5853
02.01.2020 00:00:00.000,1518.305,1531.328,1517.115,1528.728,44.2942
03.01.2020 00:00:00.000,1528.728,1553.515,1528.728,1551.515,72.8201
04.01.2020 00:00:00.000,1551.515,1551.515,1551.515,1551.515,0
05.01.2020 00:00:00.000,1559.735,1585.625,1559.735,1569.145,3.656
06.01.2020 00:00:00.000,1569.145,1579.965,1560.755,1563.678,70.6361
07.01.2020 00:00:00.000,1563.695,1598.348,1555.248,1594.955,74.6434
08.01.2020 00:00:00.000,1594.935,1611.325,1552.178,1557.985,106.4743
09.01.2020 00:00:00.000,1557.958,1561.285,1540.105,1552.645,55.6678
10.01.2020 00:00:00.000,1552.665,1563.008,1545.665,1561.785,50.2028
11.01.2020 00:00:00.000,1561.785,1561.785,1561.785,1561.785,0
12.01.2020 00:00:00.000,1561.318,1561.318,1557.915,1559.128,0.4547
13.01.2020 00:00:00.000,1559.135,1559.955,1544.858,1545.175,45.3235
14.01.2020 00:00:00.000,1545.175,1549.965,1535.828,1549.495,65.2219
15.01.2020 00:00:00.000,1549.475,1558.148,1546.288,1556.245,66.6164
16.01.2020 00:00:00.000,1556.245,1558.035,1547.975,1552.185,46.0103
17.01.2020 00:00:00.000,1552.185,1561.155,1549.295,1556.945,39.4981
18.01.2020 00:00:00.000,1556.945,1556.945,1556.945,1556.945,0
19.01.2020 00:00:00.000,1557.128,1559.015,1556.268,1556.955,0.6144
20.01.2020 00:00:00.000,1556.955,1562.705,1556.565,1561.155,17.1443
21.01.2020 00:00:00.000,1561.185,1568.508,1546.238,1556.525,64.9409
22.01.2020 00:00:00.000,1556.545,1563.675,1550.300,1561.365,48.2948
23.01.2020 00:00:00.000,1561.365,1567.848,1551.798,1560.885,57.5814
24.01.2020 00:00:00.000,1560.865,1575.785,1556.455,1571.455,65.2231
25.01.2020 00:00:00.000,1571.455,1571.455,1571.455,1571.455,0
26.01.2020 00:00:00.000,1579.248,1588.345,1579.248,1582.665,1.6959
27.01.2020 00:00:00.000,1582.655,1586.198,1575.798,1581.055,74.699
28.01.2020 00:00:00.000,1581.065,1582.965,1565.388,1568.385,58.0441
29.01.2020 00:00:00.000,1568.365,1577.948,1563.335,1576.995,62.19
30.01.2020 00:00:00.000,1576.995,1585.888,1572.155,1575.085,75.8042
31.01.2020 00:00:00.000,1575.105,1590.528,1570.905,1589.325,85.223
01.02.2020 00:00:00.000,1589.325,1589.325,1589.325,1589.325,0
02.02.2020 00:00:00.000,1593.388,1593.488,1587.525,1589.345,1.548
03.02.2020 00:00:00.000,1589.395,1590.015,1569.188,1578.725,51.7943
04.02.2020 00:00:00.000,1578.685,1579.545,1548.965,1554.018,50.7793
05.02.2020 00:00:00.000,1554.028,1562.368,1547.425,1556.005,48.5324
06.02.2020 00:00:00.000,1556.055,1568.178,1552.385,1565.745,43.8478
07.02.2020 00:00:00.000,1565.765,1574.008,1559.875,1570.198,86.3805
08.02.2020 00:00:00.000,1570.198,1570.198,1570.198,1570.198,0
09.02.2020 00:00:00.000,1571.248,1576.578,1568.898,1574.745,1.928
10.02.2020 00:00:00.000,1574.745,1576.928,1567.905,1571.895,48.3498
11.02.2020 00:00:00.000,1571.898,1573.978,1561.925,1567.045,55.1023
12.02.2020 00:00:00.000,1566.988,1571.325,1561.728,1569.718,48.4471
13.02.2020 00:00:00.000,1569.708,1578.248,1569.018,1577.248,61.9767
14.02.2020 00:00:00.000,1577.145,1584.948,1572.975,1583.648,43.9519
15.02.2020 00:00:00.000,1583.648,1583.648,1583.648,1583.648,0
16.02.2020 00:00:00.000,1581.858,1583.068,1580.325,1582.878,0.8869
17.02.2020 00:00:00.000,1582.968,1585.415,1578.798,1584.205,18.3463
18.02.2020 00:00:00.000,1584.165,1605.018,1584.155,1600.805,59.5348
19.02.2020 00:00:00.000,1600.815,1612.888,1599.455,1610.295,58.0386
20.02.2020 00:00:00.000,1610.335,1623.658,1603.785,1622.035,60.1375
21.02.2020 00:00:00.000,1622.085,1649.165,1618.895,1643.148,83.0253
22.02.2020 00:00:00.000,1643.148,1643.148,1643.148,1643.148,0
23.02.2020 00:00:00.000,1654.598,1680.605,1651.748,1665.465,2.604
24.02.2020 00:00:00.000,1665.475,1689.255,1650.838,1653.825,116.4757
25.02.2020 00:00:00.000,1653.805,1658.695,1624.898,1639.778,140.6599
26.02.2020 00:00:00.000,1639.755,1654.895,1624.785,1643.508,114.4062
27.02.2020 00:00:00.000,1643.508,1660.368,1635.145,1645.665,192.0955
28.02.2020 00:00:00.000,1645.628,1648.118,1562.848,1585.435,157.4531
29.02.2020 00:00:00.000,1585.435,1585.435,1585.435,1585.435,0
01.03.2020 00:00:00.000,1591.378,1592.958,1575.315,1584.795,2.8379
02.03.2020 00:00:00.000,1584.805,1610.958,1581.515,1591.895,214.1036
03.03.2020 00:00:00.000,1591.895,1652.548,1589.658,1645.748,192.358
04.03.2020 00:00:00.000,1645.798,1649.265,1631.798,1636.535,184.5621
05.03.2020 00:00:00.000,1636.508,1674.838,1635.518,1674.498,147.8077
