Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,0.96645,0.96831,0.96512,0.96772,933.74
02.01.2020 00:00:00.000,0.96772,0.97329,0.96766,0.97141,101920.6016
03.01.2020 00:00:00.000,0.97139,0.97436,0.96877,0.97222,76104.7188
04.01.2020 00:00:00.000,0.97222,0.97222,0.97222,0.97222,0
05.01.2020 00:00:00.000,0.97003,0.97153,0.97002,0.97152,4713.1699
06.01.2020 00:00:00.000,0.97152,0.97161,0.96757,0.96851,69252
07.01.2020 00:00:00.000,0.96851,0.97294,0.96829,0.96872,75662.3984
08.01.2020 00:00:00.000,0.96873,0.97394,0.96647,0.97325,121035.7813
09.01.2020 00:00:00.000,0.97325,0.97479,0.97111,0.97314,71334.3125
10.01.2020 00:00:00.000,0.97314,0.97621,0.97197,0.97234,55657.9883
11.01.2020 00:00:00.000,0.97234,0.97234,0.97234,0.97234,0
12.01.2020 00:00:00.000,0.97263,0.97363,0.97175,0.97316,4802.3701
13.01.2020 00:00:00.000,0.97317,0.97360,0.96929,0.97088,50369.1016
14.01.2020 00:00:00.000,0.97088,0.97130,0.96652,0.96710,70224.3438
15.01.2020 00:00:00.000,0.96711,0.96801,0.96301,0.96369,63223.1484
16.01.2020 00:00:00.000,0.96371,0.96533,0.96127,0.96496,56628.6914
17.01.2020 00:00:00.000,0.96496,0.96952,0.96449,0.96745,60819.2305
18.01.2020 00:00:00.000,0.96745,0.96745,0.96745,0.96745,0
19.01.2020 00:00:00.000,0.96722,0.96821,0.96720,0.96813,4201.6401
20.01.2020 00:00:00.000,0.96813,0.96991,0.96757,0.96836,43208.5898
21.01.2020 00:00:00.000,0.96836,0.96900,0.96609,0.96881,58788.4492
22.01.2020 00:00:00.000,0.96881,0.97291,0.96731,0.96736,62584.3008
23.01.2020 00:00:00.000,0.96738,0.97034,0.96684,0.96955,73249.7813
24.01.2020 00:00:00.000,0.96955,0.97178,0.96917,0.97102,56336.5781
25.01.2020 00:00:00.000,0.97102,0.97102,0.97102,0.97102,0
26.01.2020 00:00:00.000,0.97033,0.97078,0.96906,0.97005,12439.6396
27.01.2020 00:00:00.000,0.97006,0.97189,0.96815,0.96986,70766.4063
28.01.2020 00:00:00.000,0.96986,0.97411,0.96782,0.97287,51776.4609
29.01.2020 00:00:00.000,0.97288,0.97663,0.97262,0.97318,58177.6211
30.01.2020 00:00:00.000,0.97318,0.97329,0.96795,0.96945,78042.4766
31.01.2020 00:00:00.000,0.96943,0.97129,0.96271,0.96271,85476.4531
01.02.2020 00:00:00.000,0.96271,0.96271,0.96271,0.96271,0
02.02.2020 00:00:00.000,0.96335,0.96388,0.96291,0.96337,5047.5601
03.02.2020 00:00:00.000,0.96338,0.96721,0.96294,0.96579,91814.7578
04.02.2020 00:00:00.000,0.96579,0.97040,0.96562,0.96925,73829.9688
05.02.2020 00:00:00.000,0.96925,0.97473,0.96777,0.97340,80597.9297
06.02.2020 00:00:00.000,0.97340,0.97563,0.97309,0.97464,66663.9219
07.02.2020 00:00:00.000,0.97461,0.97809,0.97391,0.97742,85113.1797
08.02.2020 00:00:00.000,0.97742,0.97742,0.97742,0.97742,0
09.02.2020 00:00:00.000,0.97614,0.97779,0.97614,0.97659,7897.6802
10.02.2020 00:00:00.000,0.97659,0.97834,0.97634,0.97736,87514.1172
11.02.2020 00:00:00.000,0.97735,0.97887,0.97483,0.97570,70328.2891
12.02.2020 00:00:00.000,0.97574,0.97866,0.97407,0.97763,198550.0469
13.02.2020 00:00:00.000,0.97763,0.97953,0.97603,0.97900,250897.4844
14.02.2020 00:00:00.000,0.97903,0.98219,0.97902,0.98205,138384.6875
15.02.2020 00:00:00.000,0.98205,0.98205,0.98205,0.98205,0
